,id,address,bedrooms,bathrooms,size,pets,type,neighbourhood,description,sponsored,image,price
55,55,5353 Cedarwood Pl,1,1.0,800,True,House,Kitsilano,Spacious house with a backyard.,True,/images/rental-2.png,5069
56,56,5454 Oakwood Ct,1,1.0,1000,True,Apartment,Downtown,Cozy apartment with a view.,True,/images/rental-2.png,6103
57,57,5555 Redwood Ln,1,2.0,1500,True,House,Kitsilano,Modern condo in the heart of the city.,True,/images/rental-2.png,8571
58,58,5656 Spruce Rd,5,1.5,1500,True,Condo,West End,Cozy apartment with a view.,True,/images/rental-2.png,9824
59,59,5757 Pinewood Ave,4,2.5,1200,True,Townhouse,Mount Pleasant,Modern condo in the heart of the city.,False,/images/rental-1.png,7974
60,60,5858 Maplewood Ln,3,2.0,600,True,Apartment,Yaletown,Cozy apartment with a view.,False,/images/rental-1.png,4727
61,61,5959 Oakwood Rd,3,1.0,1000,True,Apartment,Yaletown,Modern condo in the heart of the city.,False,/images/rental-1.png,6655
62,62,6060 Cedar St,4,1.5,600,True,Townhouse,Yaletown,Cozy apartment with a view.,False,/images/rental-1.png,5027
63,63,6161 Elmwood Dr,1,3.0,600,True,House,West End,Spacious house with a backyard.,False,/images/rental-1.png,4065
64,64,6262 Pine Ave,4,3.0,1500,True,Apartment,Downtown,Cozy apartment with a view.,True,/images/rental-2.png,9455
65,65,6363 Birchwood Pl,1,2.0,1500,True,Condo,Mount Pleasant,Spacious house with a backyard.,True,/images/rental-2.png,8577
66,66,6464 Oakwood Ct,3,3.0,800,True,Townhouse,West End,Modern condo in the heart of the city.,False,/images/rental-1.png,5715
67,67,6565 Redwood Ave,3,3.0,1200,False,House,Mount Pleasant,Spacious house with a backyard.,False,/images/rental-1.png,7702
68,68,6666 Spruce Ln,3,2.0,1000,True,House,West End,Cozy apartment with a view.,False,/images/rental-1.png,6720
69,69,6767 Cedar Ave,4,3.0,1000,False,House,Mount Pleasant,Modern condo in the heart of the city.,True,/images/rental-2.png,6979
70,70,6868 Elm St,2,3.0,800,True,Apartment,Yaletown,Spacious house with a backyard.,False,/images/rental-1.png,5361
71,71,6969 Maplewood Ct,2,2.0,600,False,Townhouse,Kitsilano,Modern condo in the heart of the city.,False,/images/rental-1.png,4366
72,72,7070 Oakwood Ln,3,2.0,1000,True,Condo,West End,Cozy apartment with a view.,True,/images/rental-2.png,6733
73,73,7171 Pinewood Rd,4,2.0,800,True,Townhouse,Yaletown,Spacious house with a backyard.,False,/images/rental-1.png,6009
74,74,7272 Birchwood Ave,2,3.0,1500,True,Condo,West End,Spacious house with a backyard.,True,/images/rental-2.png,8914
75,75,7373 Cedarwood Dr,4,2.5,1500,True,House,Yaletown,Spacious house with a backyard.,False,/images/rental-1.png,9479
76,76,7474 Elmwood Pl,1,3.0,800,False,Townhouse,West End,Spacious house with a backyard.,False,/images/rental-1.png,5148
77,77,7575 Oak Ave,3,2.0,800,True,Condo,Kitsilano,Cozy apartment with a view.,False,/images/rental-1.png,5717
78,78,7676 Maple Rd,2,2.5,600,False,Townhouse,Mount Pleasant,Modern condo in the heart of the city.,False,/images/rental-1.png,4402
79,79,7777 Redwood Ln,3,1.0,1000,False,House,Yaletown,Cozy apartment with a view.,False,/images/rental-1.png,6750
80,80,7878 Spruce Ave,2,1.0,800,False,Apartment,Kitsilano,Modern condo in the heart of the city.,True,/images/rental-2.png,5378
81,81,7979 Pine Ave,3,2.0,800,True,Condo,Yaletown,Modern condo in the heart of the city.,False,/images/rental-1.png,5741
82,82,8080 Cedarwood Rd,4,2.0,600,False,Townhouse,West End,Cozy apartment with a view.,True,/images/rental-2.png,4986
83,83,8181 Elmwood St,4,2.5,1500,True,Townhouse,Kitsilano,Spacious house with a backyard.,True,/images/rental-2.png,9504
84,84,8282 Oakwood Ave,5,1.5,1500,True,House,Mount Pleasant,Cozy apartment with a view.,True,/images/rental-2.png,9813
85,85,8383 Birch Rd,2,1.0,1000,False,Townhouse,West End,Spacious house with a backyard.,True,/images/rental-2.png,6366
86,86,8484 Maplewood Dr,2,3.0,1500,False,House,West End,Spacious house with a backyard.,False,/images/rental-1.png,8868
87,87,8585 Pine St,4,2.5,1000,False,Townhouse,West End,Cozy apartment with a view.,True,/images/rental-2.png,6969
88,88,8686 Cedarwood Pl,2,2.0,1200,True,Condo,Downtown,Cozy apartment with a view.,False,/images/rental-1.png,7418
89,89,8787 Elmwood Rd,5,1.0,600,True,Condo,West End,Spacious house with a backyard.,False,/images/rental-1.png,5343
90,90,8888 Oakwood Dr,3,1.5,800,True,Condo,Downtown,Cozy apartment with a view.,True,/images/rental-2.png,5653
91,91,8989 Redwood Ave,3,1.5,800,True,Apartment,West End,Modern condo in the heart of the city.,False,/images/rental-1.png,5700
92,92,9090 Spruce Ln,2,1.5,600,False,House,Mount Pleasant,Cozy apartment with a view.,True,/images/rental-2.png,4412
93,93,9191 Cedar Ln,5,1.5,1000,False,Apartment,Kitsilano,Cozy apartment with a view.,True,/images/rental-2.png,7263
94,94,9292 Birchwood Ave,5,2.5,800,True,Condo,Yaletown,Cozy apartment with a view.,True,/images/rental-2.png,6275
95,95,9393 Elmwood Ct,2,2.5,1200,True,Apartment,West End,Modern condo in the heart of the city.,True,/images/rental-2.png,7449
96,96,9494 Oakwood St,2,2.0,600,False,Townhouse,Downtown,Cozy apartment with a view.,True,/images/rental-2.png,4449
97,97,9595 Pine Rd,5,1.0,1200,True,Condo,Downtown,Spacious house with a backyard.,False,/images/rental-1.png,8339
98,98,9696 Maplewood Ln,3,2.0,1000,True,Townhouse,West End,Cozy apartment with a view.,True,/images/rental-2.png,6714
99,99,9797 Cedar Ave,5,1.5,1500,True,Condo,Yaletown,Cozy apartment with a view.,True,/images/rental-2.png,9793
